Codigo_municipio;Municipios;Temp_min_invierno;Prec_max_invierno;Calidad_vida_media;Poblacion_total;Renta_media;Total_paro_registrado;Paro_hombre_menor_25;Paro_hombre_25_45;Paro_hombre_45+;Paro_mujer_menor_25;Paro_mujer_25_45;Paro_mujer_45+;Paro_agricultura;Paro_industria;Paro_construccion;Paro_servicios
46001;Ademuz;0.8;76.6;0.5758872242744002;1015.0;12544.0;71.0;6.0;9.0;20.0;3.0;17.0;15.0;3.0;8.0;8.0;47.0
46002;Ador;0.8;76.6;0.6742105994867315;1755.0;13447.0;80.0;3.0;10.0;21.0;3.0;16.0;31.0;3.0;11.0;8.0;59.0
46003;Atzeneta;0.8;76.6;0.5784616364033883;1193.0;12812.0;70.0;3.0;6.0;17.0;3.0;10.0;32.0;0.0;25.0;3.0;40.0
46004;Agullent;0.8;76.6;0.5934530842870244;2438.0;12589.0;134.0;3.0;13.0;30.0;0.0;17.0;72.0;3.0;45.0;3.0;81.0
46005;Alaquàs;0.8;76.6;0.5761145715360012;30166.0;12930.0;2247.0;102.0;285.0;432.0;77.0;457.0;894.0;23.0;316.0;139.0;1553.0
46006;Albaida;0.8;76.6;0.5811069393062017;6322.0;12789.0;384.0;13.0;44.0;77.0;7.0;77.0;166.0;3.0;108.0;15.0;230.0
46007;Albal;0.8;76.6;0.6032876892577375;17365.0;13249.0;1158.0;53.0;145.0;240.0;32.0;233.0;455.0;21.0;225.0;50.0;801.0
46008;Albalat;0.8;76.6;0.6157908466157145;3523.0;12616.0;172.0;3.0;21.0;37.0;6.0;47.0;57.0;3.0;33.0;11.0;108.0
46009;Albalat;0.8;76.6;0.7246953749787703;4368.0;15015.0;178.0;8.0;24.0;32.0;3.0;44.0;66.0;3.0;25.0;7.0;137.0
46010;Albalat;0.8;76.6;0.7148880335835571;1574.0;15439.0;80.0;3.0;5.0;21.0;3.0;18.0;30.0;0.0;9.0;6.0;63.0
46011;Alberic;0.8;76.6;0.5951471595793038;11099.0;12070.0;580.0;18.0;75.0;103.0;22.0;160.0;202.0;48.0;73.0;41.0;362.0
46012;Alborache;0.8;76.6;0.6994398720623912;1568.0;14152.0;72.0;3.0;3.0;15.0;3.0;24.0;23.0;3.0;6.0;3.0;56.0
46013;Alboraia/Alboraya;0.8;76.6;0.7558503937723401;26273.0;17240.0;1043.0;41.0;137.0;256.0;37.0;164.0;408.0;8.0;146.0;60.0;771.0
46014;Albuixech;0.8;76.6;0.6867364060171356;4482.0;14623.0;222.0;6.0;35.0;50.0;8.0;44.0;79.0;3.0;32.0;14.0;164.0
46015;Alcàsser;-2.0;76.6;0.6480194485463662;10772.0;13616.0;537.0;21.0;68.0;114.0;14.0;133.0;187.0;14.0;76.0;40.0;366.0
46016;Alcàntera;0.8;76.6;0.6562489194883243;1468.0;12234.0;58.0;3.0;10.0;17.0;3.0;15.0;11.0;5.0;3.0;6.0;41.0
46017;Alzira;0.8;76.6;0.6090547149584833;48236.0;13445.0;2890.0;119.0;373.0;566.0;114.0;669.0;1049.0;120.0;446.0;145.0;1919.0
