Codigo_municipio;Municipios;Temp_min_invierno;Prec_max_invierno
46001;Ademuz;0.8;76.6
46002;Ador;0.8;76.6
46003;Atzeneta;0.8;76.6
46004;Agullent;0.8;76.6
46005;Alaquàs;0.8;76.6
46006;Albaida;0.8;76.6
46007;Albal;0.8;76.6
46008;Albalat;0.8;76.6
46009;Albalat;0.8;76.6
46010;Albalat;0.8;76.6
46011;Alberic;0.8;76.6
46012;Alborache;0.8;76.6
46013;Alboraia/Alboraya;0.8;76.6
46014;Albuixech;0.8;76.6
46015;Alcàsser;-2.0;76.6
46016;Alcàntera;0.8;76.6
46017;Alzira;0.8;76.6
46018;Alcublas;0.8;76.6
46019;Alcúdia,;0.8;76.6
46020;Alcúdia;0.8;76.6
46021;Aldaia;0.8;76.6
46022;Alfafar;0.8;76.6
46023;Alfauir;0.8;76.6
46024;Alfara;0.8;76.6
46025;Alfara;0.8;76.6
46026;Alfarb;0.8;76.6
46027;Alfarrasí;0.8;76.6
46028;Algar;0.8;76.6
46029;Algemesí;0.8;76.6
46030;Algímia;0.8;76.6
46031;Alginet;0.8;76.6
46032;Almàssera;0.8;76.6
46033;Almiserà;0.8;76.6
46034;Almoines;0.8;76.6
46035;Almussafes;0.8;76.6
46036;Alpuente;-2.0;76.6
46037;Alqueria;0.8;76.6
46038;Andilla;0.8;76.6
46039;Anna;0.8;76.6
46040;Antella;0.8;76.6
46041;Aras;0.8;76.6
46042;Aielo;0.8;76.6
46043;Aielo;0.8;76.6
46044;Ayora;0.8;76.6
46045;Barxeta;0.8;76.6
46046;Barx;0.8;76.6
46047;Bèlgida;0.8;76.6
46048;Bellreguard;0.8;76.6
46049;Bellús;0.8;76.6
46050;Benagéber;0.8;76.6
46051;Benaguasil;0.8;76.6
46052;Benavites;0.8;76.6
46053;Beneixida;0.8;76.6
46054;Benetússer;0.8;76.6
46055;Beniarjó;0.8;76.6
46056;Beniatjar;0.8;76.6
46057;Benicolet;0.8;76.6
46058;Benifairó;0.8;76.6
46059;Benifairó;0.8;76.6
46060;Benifaió;0.8;76.6
46061;Beniflá;0.8;76.6
46062;Benigànim;0.8;76.6
46063;Benimodo;-2.0;76.6
46064;Benimuslem;0.8;76.6
46065;Beniparrell;0.8;76.6
46066;Benirredrà;0.8;76.6
46067;Benissanó;0.8;76.6
46068;Benissoda;0.8;76.6
46069;Benissuera;0.8;76.6
46070;Bétera;0.8;76.6
46071;Bicorp;0.8;76.6
46072;Bocairent;0.8;117.4
46073;Bolbaite;0.8;76.6
46074;Bonrepòs;0.8;76.6
46075;Bufali;0.8;76.6
46076;Bugarra;0.8;76.6
46077;Buñol;0.8;76.6
46078;Burjassot;-2.0;76.6
46079;Calles;0.8;76.6
46080;Camporrobles;0.8;76.6
46081;Canals;0.8;76.6
46082;Canet;0.8;76.6
46083;Carcaixent;0.8;76.6
46084;Càrcer;0.8;117.4
46085;Carlet;0.8;76.6
46086;Carrícola;0.8;76.6
46087;Casas;0.8;76.6
46088;Casas;0.8;76.6
46089;Casinos;0.8;76.6
46090;Castelló;-2.0;76.6
46091;Castellonet;0.8;76.6
46092;Castielfabib;0.8;76.6
46093;Catadau;0.8;76.6
46094;Catarroja;0.8;76.6
46095;Caudete;0.8;76.6
46096;Cerdà;0.8;76.6
46097;Cofrentes;0.8;76.6
46098;Corbera;0.8;76.6
46099;Cortes;0.8;76.6
46100;Cotes;0.8;76.6
46101;Quart;0.8;76.6
46102;Quart;0.8;76.6
46103;Quartell;0.8;76.6
46104;Quatretonda;0.8;76.6
46105;Cullera;0.8;76.6
46106;Chelva;0.8;76.6
46107;Chella;0.8;76.6
46108;Chera;0.8;76.6
46109;Cheste;0.8;76.6
46110;Xirivella;0.8;76.6
46111;Chiva;0.8;76.6
46112;Chulilla;0.8;76.6
46113;Daimús;0.8;76.6
46114;Domeño;0.8;76.6
46115;Dos;0.8;76.6
46116;Eliana,;0.8;76.6
46117;Emperador;0.8;76.6
46118;Enguera;0.8;76.6
46119;Énova,;0.8;76.6
46120;Estivella;0.8;76.6
46121;Estubeny;0.8;76.6
46122;Faura;0.8;76.6
