Codigo_municipio;Municipios;Poblacion_total;Renta_media;Total_paro_registrado;Paro_hombre_menor_25;Paro_hombre_25_45;Paro_hombre_45+;Paro_mujer_menor_25;Paro_mujer_25_45;Paro_mujer_45+;Paro_agricultura;Paro_industria;Paro_construccion;Paro_servicios;Demanda_score;Demanda_comedor
46001;Ademuz;1015.0;12544.0;71.0;6.0;9.0;20.0;3.0;17.0;15.0;3.0;8.0;8.0;47.0;0.12958243079880805;2
46002;Ador;1755.0;13447.0;80.0;3.0;10.0;21.0;3.0;16.0;31.0;3.0;11.0;8.0;59.0;0.11758558837293077;2
46003;Atzeneta;1193.0;12812.0;70.0;3.0;6.0;17.0;3.0;10.0;32.0;0.0;25.0;3.0;40.0;0.12597592779850914;2
46004;Agullent;2438.0;12589.0;134.0;3.0;13.0;30.0;0.0;17.0;72.0;3.0;45.0;3.0;81.0;0.1300095261873326;2
46005;Alaquàs;30166.0;12930.0;2247.0;102.0;285.0;432.0;77.0;457.0;894.0;23.0;316.0;139.0;1553.0;0.15316005032838517;2
46006;Albaida;6322.0;12789.0;384.0;13.0;44.0;77.0;7.0;77.0;166.0;3.0;108.0;15.0;230.0;0.130782594993642;2
46007;Albal;17365.0;13249.0;1158.0;53.0;145.0;240.0;32.0;233.0;455.0;21.0;225.0;50.0;801.0;0.13500074210093188;2
46008;Albalat;3523.0;12616.0;172.0;3.0;21.0;37.0;6.0;47.0;57.0;3.0;33.0;11.0;108.0;0.1303499728468067;2
46009;Albalat;4368.0;15015.0;178.0;8.0;24.0;32.0;3.0;44.0;66.0;3.0;25.0;7.0;137.0;0.09792613848721016;2
46010;Albalat;1574.0;15439.0;80.0;3.0;5.0;21.0;3.0;18.0;30.0;0.0;9.0;6.0;63.0;0.09030541300176295;2
46011;Alberic;11099.0;12070.0;580.0;18.0;75.0;103.0;22.0;160.0;202.0;48.0;73.0;41.0;362.0;0.1439722203449373;2
46012;Alborache;1568.0;14152.0;72.0;3.0;3.0;15.0;3.0;24.0;23.0;3.0;6.0;3.0;56.0;0.10781900969358835;2
46013;Alboraia/Alboraya;26273.0;17240.0;1043.0;41.0;137.0;256.0;37.0;164.0;408.0;8.0;146.0;60.0;771.0;0.08267727785811774;2
46014;Albuixech;4482.0;14623.0;222.0;6.0;35.0;50.0;8.0;44.0;79.0;3.0;32.0;14.0;164.0;0.10369556449799774;2
46015;Alcàsser;10772.0;13616.0;537.0;21.0;68.0;114.0;14.0;133.0;187.0;14.0;76.0;40.0;366.0;0.12236881020205687;2
46016;Alcàntera;1468.0;12234.0;58.0;3.0;10.0;17.0;3.0;15.0;11.0;5.0;3.0;6.0;41.0;0.1338691969890697;2
46017;Alzira;48236.0;13445.0;2890.0;119.0;373.0;566.0;114.0;669.0;1049.0;120.0;446.0;145.0;1919.0;0.15802330745849882;2
46018;Alcublas;710.0;12376.0;31.0;0.0;3.0;9.0;0.0;5.0;13.0;3.0;3.0;0.0;26.0;0.13142974034202926;2
46019;Alcúdia,;12587.0;13681.0;496.0;25.0;67.0;106.0;23.0;142.0;133.0;50.0;75.0;25.0;304.0;0.1217807204778714;2
46020;Alcúdia;5548.0;12150.0;345.0;9.0;29.0;79.0;8.0;67.0;153.0;8.0;61.0;27.0;238.0;0.13890605350044258;2
46021;Aldaia;34630.0;12813.0;2304.0;89.0;286.0;490.0;90.0;514.0;835.0;22.0;354.0;166.0;1546.0;0.1568346371056209;2
46022;Alfafar;22270.0;11842.0;1732.0;47.0;224.0;401.0;55.0;374.0;631.0;15.0;230.0;110.0;1273.0;0.16084082136220368;2
46023;Alfauir;515.0;13843.0;22.0;0.0;3.0;10.0;3.0;3.0;6.0;0.0;3.0;0.0;18.0;0.11124104409917128;2
46024;Alfara;624.0;13045.0;37.0;3.0;3.0;7.0;3.0;8.0;14.0;0.0;3.0;3.0;31.0;0.12230975161266507;2
46025;Alfara;3740.0;14463.0;133.0;8.0;13.0;35.0;7.0;29.0;41.0;3.0;16.0;12.0;91.0;0.10486218456425751;2
46026;Alfarb;1763.0;13795.0;53.0;3.0;11.0;10.0;3.0;12.0;14.0;3.0;10.0;5.0;31.0;0.11260498148197381;2
