Municipios;Sexo;Periodo;Total
46001 Ademuz;Total;2025;1.015
46002 Ador;Total;2025;1.755
46004 Agullent;Total;2025;2.438
46042 Aielo de Malferit;Total;2025;4.624
46043 Aielo de Rugat;Total;2025;160
46005 Alaquàs;Total;2025;30.166
46006 Albaida;Total;2025;6.322
46007 Albal;Total;2025;17.365
46008 Albalat de la Ribera;Total;2025;3.523
46009 Albalat dels Sorells;Total;2025;4.368
46010 Albalat dels Tarongers;Total;2025;1.574
46011 Alberic;Total;2025;11.099
46012 Alborache;Total;2025;1.568
46013 Alboraia/Alboraya;Total;2025;26.273
46014 Albuixech;Total;2025;4.482
46016 Alcàntera de Xúquer;Total;2025;1.468
46015 Alcàsser;Total;2025;10.772
46018 Alcublas;Total;2025;710
46020 Alcúdia de Crespins, l';Total;2025;5.548
46019 Alcúdia, l';Total;2025;12.587
46021 Aldaia;Total;2025;34.630
46022 Alfafar;Total;2025;22.270
46024 Alfara de la Baronia;Total;2025;624
46025 Alfara del Patriarca;Total;2025;3.740
46026 Alfarb;Total;2025;1.763
46027 Alfarrasí;Total;2025;1.173
46023 Alfauir;Total;2025;515
46028 Algar de Palància;Total;2025;565
46029 Algemesí;Total;2025;28.306
46030 Algímia d'Alfara;Total;2025;1.115
46031 Alginet;Total;2025;14.844
46032 Almàssera;Total;2025;7.887
46033 Almiserà;Total;2025;278
46034 Almoines;Total;2025;2.664
46035 Almussafes;Total;2025;9.070
46036 Alpuente;Total;2025;688
46037 Alqueria de la Comtessa, l';Total;2025;1.547
46017 Alzira;Total;2025;48.236
46038 Andilla;Total;2025;338
46039 Anna;Total;2025;2.600
46040 Antella;Total;2025;1.130
46041 Aras de los Olmos;Total;2025;401
46003 Atzeneta d'Albaida;Total;2025;1.193
46044 Ayora;Total;2025;5.282
46046 Barx;Total;2025;1.501
46045 Barxeta;Total;2025;1.578
46047 Bèlgida;Total;2025;651
46048 Bellreguard;Total;2025;5.032
46049 Bellús;Total;2025;317
46050 Benagéber;Total;2025;176
46051 Benaguasil;Total;2025;12.668
46052 Benavites;Total;2025;652
46053 Beneixida;Total;2025;659
46054 Benetússer;Total;2025;16.734
46055 Beniarjó;Total;2025;1.964
46056 Beniatjar;Total;2025;209
46057 Benicolet;Total;2025;610
46904 Benicull de Xúquer;Total;2025;1.179
46060 Benifaió;Total;2025;12.262
46059 Benifairó de la Valldigna;Total;2025;1.588
46058 Benifairó de les Valls;Total;2025;2.359
46061 Beniflá;Total;2025;505
46062 Benigànim;Total;2025;5.759
46063 Benimodo;Total;2025;2.332
46064 Benimuslem;Total;2025;674
46065 Beniparrell;Total;2025;2.108
46066 Benirredrà;Total;2025;1.576
46067 Benissanó;Total;2025;2.449
46068 Benissoda;Total;2025;494
46069 Benissuera;Total;2025;196
46070 Bétera;Total;2025;28.560
46071 Bicorp;Total;2025;546
46072 Bocairent;Total;2025;4.130
46073 Bolbaite;Total;2025;1.320
46074 Bonrepòs i Mirambell;Total;2025;4.115
46075 Bufali;Total;2025;162
46076 Bugarra;Total;2025;774
46077 Buñol;Total;2025;9.858
46078 Burjassot;Total;2025;41.299
46079 Calles;Total;2025;465
46080 Camporrobles;Total;2025;1.183
46081 Canals;Total;2025;13.746
46082 Canet d'En Berenguer;Total;2025;8.297
46083 Carcaixent;Total;2025;21.934
46084 Càrcer;Total;2025;1.795
46085 Carlet;Total;2025;16.857
46086 Carrícola;Total;2025;97
46087 Casas Altas;Total;2025;118
46088 Casas Bajas;Total;2025;158
46089 Casinos;Total;2025;3.153
46257 Castelló;Total;2025;6.972
46090 Castelló de Rugat;Total;2025;2.345
46091 Castellonet de la Conquesta;Total;2025;159
46092 Castielfabib;Total;2025;284
46093 Catadau;Total;2025;3.005
46094 Catarroja;Total;2025;30.604
46095 Caudete de las Fuentes;Total;2025;725
46096 Cerdà;Total;2025;370
46107 Chella;Total;2025;2.452
46106 Chelva;Total;2025;1.863
46108 Chera;Total;2025;508
46109 Cheste;Total;2025;8.951
46111 Chiva;Total;2025;17.951
